"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"240","Water (Akasha, #1)","Harmony, Terra",NA,NA,2015,NA,NA,NA,279,2011,2011,NA,NA,NA,NA,NA,NA
"241","Shatter Me (Shatter Me, #1)","Mafi, Tahereh","9780062085481",NA,2015,NA,NA,"0062085484",338,2011,2011,NA,NA,NA,NA,NA,NA
"242","Oddily (Oddily, #1)","Pohring, Linda","9781460985960",NA,2015,NA,NA,NA,264,2011,2011,NA,NA,NA,NA,NA,NA
"243","Rebirth (Rogues Shifter #1)","Parness, Gayle",NA,NA,2016,NA,NA,NA,NA,2012,2011,NA,NA,NA,NA,NA,NA
"244","Time's Daughter","Breton, Anya","9781476136035",NA,2016,NA,NA,NA,NA,2012,2011,NA,NA,NA,NA,NA,NA
"245","UnEnchanted (An Unfortunate Fairy Tale, #1)","Hahn, Chanda",NA,NA,2016,NA,NA,NA,235,2011,2011,NA,NA,NA,NA,NA,NA
"246","Verity (Cursed, #1)","Farrell, Claire",NA,NA,2016,NA,NA,NA,251,2011,2011,NA,NA,NA,NA,NA,NA
"247","Wayward","Girardi, Ashley","9781458137555",NA,2016,NA,NA,NA,NA,2011,2011,NA,NA,NA,NA,NA,NA
"248","Anathema (Causal Enchantment, #1)","Tucker, K.A.","9780986915505",NA,2016,NA,NA,"0986915505",284,2011,2011,NA,NA,NA,NA,NA,NA
"249","Raven (The Raven Saga, #1)","Turner, Suzy",NA,NA,2016,NA,NA,NA,273,2011,2011,NA,NA,NA,NA,NA,NA
"250","Redemption (Redemption, #1)","Ryals, R.K.","9781466392502",NA,2016,NA,NA,"1466392509",340,2011,2011,NA,NA,NA,NA,NA,NA
"251","The Rock Star's Daughter (Treadwell Academy, #1)","Duffy, Caitlyn","9780983398035",NA,2016,NA,NA,"0983398038",318,2011,2011,NA,NA,NA,NA,NA,NA
"252","The Girl Who Disappeared Twice (Forensic Instincts, Book 1)","Kane, Andrea",NA,NA,2017,NA,NA,NA,394,2011,2011,NA,NA,NA,NA,NA,NA
"253","Triple Ripple: A Fabulous Fairytale","Lowry, Brigid","9781742692661",NA,2017,NA,NA,"1742692664",252,2011,2011,NA,NA,NA,NA,NA,NA
"254","Awakening (The Watchers, #1)","Bolton, Karice","9780615535180",NA,2017,NA,NA,"0615535186",312,2011,2011,NA,NA,NA,NA,NA,NA
